"","L","R"
"3258","cel.1","cxcr4a"
"3259","cel.2","cxcr4b"
"3260","cel.2","cxcr4a"
"3261","cgna","f11r.2"
"3262","cgna","f11r.1"
"3263","cgnb","f11r.2"
"3264","cgnb","f11r.1"
"3265","clec11a","itga10"
"3266","clec11a","itga11b"
"3267","clec11a","itga11a"
"3268","clec11a","itgb1a"
"3269","clec11a","itgb1b.2"
"3270","clec11a","itgb1b"
"3271","clec11a","itgb1b.1"
"3272","BX682234.1","BX682234.1"
"3273","BX682234.1","si:ch211-193e13.5"
"3274","BX682234.1","si:dkey-26c10.5"
"3275","BX682234.1","si:ch211-170d8.8"
"3276","si:ch211-193e13.5","BX682234.1"
"3277","si:ch211-193e13.5","si:ch211-193e13.5"
"3278","si:ch211-193e13.5","si:dkey-26c10.5"
"3279","si:ch211-193e13.5","si:ch211-170d8.8"
"3280","si:dkey-26c10.5","BX682234.1"
"3281","si:dkey-26c10.5","si:ch211-193e13.5"
"3282","si:dkey-26c10.5","si:dkey-26c10.5"
"3283","si:dkey-26c10.5","si:ch211-170d8.8"
"3284","si:ch211-170d8.8","BX682234.1"
"3285","si:ch211-170d8.8","si:ch211-193e13.5"
"3286","si:ch211-170d8.8","si:dkey-26c10.5"
"3287","si:ch211-170d8.8","si:ch211-170d8.8"
"3320","m17","lifrb"
"3321","m17","lifra"
"3322","m17","il11ra"
"3323","m17","il6r"
"3324","m17","ghrb"
"3325","m17","ghra"
"3326","cntn1b","notch1b"
"3327","cntn1b","notch1a"
"3328","cntn1a","notch1b"
"3329","cntn1a","notch1a"
"3330","cntn1b","si:ch73-281k2.5"
"3331","cntn1a","si:ch73-281k2.5"
"3332","cntn1b","ptprz1b"
"3333","cntn1b","ptprz1a"
"3334","cntn1a","ptprz1b"
"3335","cntn1a","ptprz1a"
"3336","robo4","cntn1b"
"3337","robo4","cntn1a"
"3338","robo4","nrcama"
"3339","BX942846.1","ca16b"
"3340","BX942846.1","ptprga"
"3341","col11a1b","ddr1"
"3342","col11a1a","ddr1"
"3343","col14a1a","cd44a"
"3344","col14a1a","cd44b"
"3345","col14a1b","cd44a"
"3346","col14a1b","cd44b"
"3347","col18a1b","gpc4"
"3348","col18a1a","gpc4"
"3349","col18a1b","kdr"
"3350","col18a1a","kdr"
"3351","col1a1b","cd36"
"3352","col1a1a","cd36"
"3353","col1a1b","cd248a"
"3354","col1a1b","cd248b"
"3355","col1a1a","cd248a"
"3356","col1a1a","cd248b"
"3357","col1a1b","itga5"
"3358","col1a1a","itga5"
"3359","col1a2","cd44a"
"3360","col1a2","cd44b"
"3361","col1a2","cd248a"
"3362","col1a2","cd248b"
"3363","col1a2","itga11b"
"3364","col1a2","itga11a"
"3365","col1a2","itga2.2"
"3366","col1a2","itga2.3"
"3367","col1a2","itga2.1"
"3368","col1a2","itgb1a"
"3369","col1a2","itgb1b.2"
"3370","col1a2","itgb1b"
"3371","col1a2","itgb1b.1"
"3372","col1a2","itgb3b"
"3373","col1a2","itgb3a"
"3374","col2a1a","ddr1"
"3375","col2a1a","mag"
"3376","col2a1a","hdr"
"3377","col2a1a","tnfrsfa"
"3378","col2a1a","cd40"
"3379","col2a1a","nradd"
"3380","col2a1a","tnfrsf1b"
"3381","col2a1a","tnfrsf11a"
"3382","col4a1","cd248a"
"3383","col4a1","cd248b"
"3384","col4a1","itgav"
"3385","col4a2","cd248a"
"3386","col4a2","cd248b"
"3387","col5a1","CABZ01080702.1"
"3388","col5a2a","ddr1"
"3389","col8a1b","itga1"
"3390","col8a1b","itga2.2"
"3391","col8a1b","itga2.3"
"3392","col8a1b","itga2.1"
"3393","col9a1a","mag"
"3394","col9a2","mag"
"3395","comp","itga5"
"3396","cp","slc40a1"
"3397","si:ch211-270n8.1","BX682234.1"
"3398","si:ch211-270n8.1","si:ch211-193e13.5"
"3399","si:ch211-270n8.1","si:dkey-26c10.5"
"3400","si:ch211-270n8.1","si:ch211-170d8.8"
"3401","BX120005.2","cadm1a"
"3402","BX120005.2","cadm1b"
"3403","cthrc1b","fzd3b"
"3404","cthrc1b","fzd3a"
"3405","cthrc1a","fzd3b"
"3406","cthrc1a","fzd3a"
"3407","cthrc1b","fzd5"
"3408","cthrc1a","fzd5"
"3409","cthrc1b","fzd6"
"3410","cthrc1a","fzd6"
"3411","cthrc1b","ror2"
"3412","cthrc1a","ror2"
"3413","cxcl32b.1","itgav"
"3414","cxcl32b.1","itgb3b"
"3415","cxcl32b.1","itgb3a"
"3416","cxadr","cxadr"
"3417","cxcl12b","cd4-1"
"3418","cxcl12b","si:ch73-34h11.1"
"3419","cxcl12b","dicp1.3-4"
"3420","cxcl12b","dicp1.16"
"3421","cxcl12b","zmp:0000000608"
"3422","cxcl12b","AL929520.3"
"3423","cxcl12b","dicp2.2"
"3424","cxcl12b","dicp2.1"
"3425","cxcl12b","dicp3.3"
"3426","cxcl12b","si:ch73-322b17.4"
"3427","cxcl12b","dicp3.1"
"3428","cxcl12a","cd4-1"
"3429","cxcl12a","si:ch73-34h11.1"
"3430","cxcl12a","dicp1.3-4"
"3431","cxcl12a","dicp1.16"
"3432","cxcl12a","zmp:0000000608"
"3433","cxcl12a","AL929520.3"
"3434","cxcl12a","dicp2.2"
"3435","cxcl12a","dicp2.1"
"3436","cxcl12a","dicp3.3"
"3437","cxcl12a","si:ch73-322b17.4"
"3438","cxcl12a","dicp3.1"
"3439","cxcl12b","itga4"
"3440","cxcl12a","itga4"
"3441","cxcl12b","itga5"
"3442","cxcl12a","itga5"
"3443","cxcl12b","itgav"
"3444","cxcl12a","itgav"
"3445","cxcl12b","itgb1a"
"3446","cxcl12b","itgb1b.2"
"3447","cxcl12b","itgb1b"
"3448","cxcl12b","itgb1b.1"
"3449","cxcl12a","itgb1a"
"3450","cxcl12a","itgb1b.2"
