"","L","R"
"504","Rspo2","Lgr6"
"505","Rspo2","Lgr5"
"506","Calm1","Cnga2"
"507","Calm1","Pde1c"
"508","Calm1","Pde1b"
"509","Calm1","Mylk"
"510","Calm1","Mylk2"
"511","Calm1","Pde1a"
"512","Calm3","Cnga2"
"513","Calm3","Pde1c"
"514","Calm3","Pde1b"
"515","Calm3","Mylk"
"516","Calm3","Mylk2"
"517","Calm3","Pde1a"
"518","Calm2","Cnga2"
"519","Calm2","Pde1c"
"520","Calm2","Pde1b"
"521","Calm2","Mylk"
"522","Calm2","Mylk2"
"523","Calm2","Pde1a"
"524","Insl3","Rxfp2"
"525","Rln1","Rxfp1"
"526","Rln1","Rxfp2"
"529","Rln3","Rxfp3"
"530","Rln3","Rxfp4"
"531","Rln3","Rxfp1"
"532","Rln3","Rxfp2"
"533","Insl5","Rxfp3"
"534","Insl5","Rxfp4"
"535","Rarres2","Cmklr1"
"536","Qrfp","Qrfprl"
"537","Qrfp","Qrfpr"
"538","Alox5ap","Alox5"
"539","Apln","Aplnr"
"540","Lhb","Lhcgr"
"541","Tshb","Tshr"
"542","Fshb","Fshr"
"543","Anxa1","Fpr1"
"544","Anxa1","Fpr3"
"545","Anxa1","Fpr-rs7"
"546","Anxa1","Fpr-rs6"
"547","Anxa1","Fpr-rs3"
"549","Anxa1","Fpr2"
"550","Anxa1","Fpr-rs4"
"551","Hebp1","Fpr3"
"552","Hebp1","Fpr-rs7"
"553","Hebp1","Fpr-rs6"
"554","Hebp1","Fpr-rs3"
"556","Hebp1","Fpr2"
"557","Hebp1","Fpr-rs4"
"558","Camp","Fpr-rs7"
"559","Camp","Fpr-rs6"
"560","Camp","Fpr-rs3"
"561","Camp","Fpr3"
"562","Camp","Fpr2"
"563","Camp","Fpr-rs4"
"564","Saa2","Fpr-rs7"
"565","Saa2","Fpr-rs6"
"566","Saa2","Fpr-rs3"
"567","Saa2","Fpr3"
"568","Saa2","Fpr2"
"569","Saa2","Fpr-rs4"
"570","Saa1","Fpr-rs7"
"571","Saa1","Fpr-rs6"
"572","Saa1","Fpr-rs3"
"573","Saa1","Fpr3"
"574","Saa1","Fpr2"
"575","Saa1","Fpr-rs4"
