"","L","R"
"395","ADM","CALCR"
"396","CORT","SSTR1"
"397","CORT","SSTR4"
"398","CORT","SSTR5"
"399","CORT","SSTR3"
"400","CORT","SSTR2"
"401","CORT","MRGPRX2"
"402","SST","SSTR1"
"403","SST","SSTR4"
"404","SST","SSTR5"
"405","SST","SSTR3"
"406","SST","SSTR2"
"409","RSPO1","LGR4"
"410","RSPO1","LGR6"
"411","RSPO1","LGR5"
"412","RSPO4","LGR4"
"413","RSPO4","LGR6"
"414","RSPO4","LGR5"
"415","RSPO3","LGR4"
"416","RSPO3","LGR6"
"417","RSPO3","LGR5"
"418","RSPO2","LGR4"
"419","RSPO2","LGR6"
"420","RSPO2","LGR5"
"421","CALM1","CNGA2"
"422","CALM1","PDE1C"
"423","CALM1","PDE1B"
"424","CALM1","MYLK"
"425","CALM1","MYLK2"
"426","CALM1","PDE1A"
"427","CALM3","CNGA2"
"428","CALM3","PDE1C"
"429","CALM3","PDE1B"
"430","CALM3","MYLK"
"431","CALM3","MYLK2"
"432","CALM3","PDE1A"
"433","CALM2","CNGA2"
"434","CALM2","PDE1C"
"435","CALM2","PDE1B"
"436","CALM2","MYLK"
"437","CALM2","MYLK2"
"438","CALM2","PDE1A"
"439","INSL3","RXFP2"
"440","RLN1","RXFP1"
"441","RLN1","RXFP2"
"442","RLN2","RXFP1"
"443","RLN2","RXFP2"
"444","RLN3","RXFP3"
"445","RLN3","RXFP4"
"446","RLN3","RXFP1"
"447","RLN3","RXFP2"
"448","INSL5","RXFP3"
"449","INSL5","RXFP4"
"450","RARRES2","CMKLR1"
"451","RARRES2","GPR1"
"452","QRFP","QRFPR"
"453","ALOX5AP","ALOX5"
"454","APLN","APLNR"
"455","LHB","LHCGR"
"459","TSHB","TSHR"
"460","FSHB","FSHR"
"461","ANXA1","FPR1"
"462","ANXA1","FPR3"
"463","ANXA1","FPR2"
"464","HEBP1","FPR3"
"465","HEBP1","FPR2"
"466","CAMP","FPR2"
"467","SAA1","FPR2"
"468","APP","FPR2"
"473","CXCL1","CXCR1"
"481","RPS19","C5AR1"
"482","C5","C5AR1"
"483","C5","C5AR2"
"484","CCL19","CXCR3"
"485","CCL19","CCRL2"
"487","CCL19","ACKR4"
"489","CCL21","ACKR4"
"490","CCL25","ACKR4"
"492","DEFB4A","CCR6"
"493","DEFB4B","CCR6"
"494","CCL20","CXCR3"
"496","CXCL12","CXCR3"
"499","CXCL11","CCR3"
"502","CXCL9","CCR3"
"504","CXCL10","CCR3"
"506","CCL5","GPR75"
"510","CCL5","CXCR3"
"511","CCL8","CCR8"
"512","CCL8","CCR1"
"513","CCL8","CCR5"
"514","CCL8","CCR2"
"516","CCL13","CCR1"
"517","CCL13","CCR5"
"520","CCL13","CXCR3"
"522","CCL7","CCR5"
"524","CCL7","CCR3"
"525","CCL7","CXCR3"
"526","CCL11","CCR5"
"527","CCL11","CCR2"
"529","CCL11","CXCR3"
"530","CCL24","CCR2"
"532","CCL26","CCR2"
"534","CCL2","CCR5"
"536","CCL2","CCR3"
"537","CCL16","HRH4"
"538","CCL16","CCR5"
"539","CCL16","CCR2"
"541","CCL14","CCR5"
"542","CCL4","CCR1"
"543","CCL4","CCR5"
"544","CCL3","CCR1"
"545","CCL3","CCR5"
"553","CSF3","CSF1R"
"557","CSF2","CSF1R"
"558","ANGPT4","TEK"
"559","ANGPT1","TEK"
"564","EDN2","EDNRA"
"565","EDN1","EDNRA"
"566","EDN3","EDNRB"
"571","GALP","GALR1"
"572","GALP","GALR3"
"573","GALP","GALR2"
"574","GAL","GALR1"
"575","GAL","GALR3"
"576","GAL","GALR2"
"577","GAST","CCKAR"
"578","GAST","CCKBR"
"579","CCK","CCKAR"
"580","CCK","CCKBR"
"581","GCG","GCGR"
"582","GCG","GLP2R"
"583","GCG","GLP1R"
"586","GHRL","GHSR"
"587","GIP","GIPR"
"588","GNRH2","GNRHR"
"589","GNRH1","GNRHR"
"590","HCRT","HCRTR1"
"591","HCRT","HCRTR2"
"594","IGF2","IGF1R"
"595","IGF1","IGF1R"
"598","INS","INSR"
"599","KISS1","KISS1R"
"601","KNG1","BDKRB1"
"602","KNG1","BDKRB2"
"605","MLN","MLNR"
"606","MST1","MST1R"
"607","NDP","FZD4"
"608","NMB","GRPR"
"609","NMB","NMBR"
"610","GRP","GRPR"
"611","GRP","NMBR"
"612","NMU","NMUR1"
"613","NMU","NMUR2"
"614","NMS","NMUR1"
"615","NMS","NMUR2"
"616","NPPC","NPR2"
"617","NPS","NPSR1"
"618","NPW","NPBWR1"
"619","NPW","NPBWR2"
"620","NPB","NPBWR1"
"621","NPB","NPBWR2"
"622","NTF3","NGFR"
"623","NTF3","NTRK3"
"624","NGF","NGFR"
"625","NTF4","NGFR"
"626","BDNF","NGFR"
"627","NTS","NTSR1"
"628","NTS","NTSR2"
"629","OSTN","NPR3"
"630","OXT","AVPR2"
"631","OXT","AVPR1B"
"632","OXT","OXTR"
"633","OXT","AVPR1A"
"634","AVP","AVPR2"
"635","AVP","AVPR1B"
"636","AVP","OXTR"
"637","AVP","AVPR1A"
"638","PMCH","MCHR1"
"639","PMCH","MCHR2"
"640","PNOC","OPRL1"
"641","ARF1","PLD2"
"642","NPPB","NPR1"
"643","NPPA","NPR1"
"644","CSH2","PRLR"
"645","CSHL1","PRLR"
"647","CSH1","PRLR"
"648","PROK2","PROKR1"
"649","PROK2","PROKR2"
"650","PROK1","PROKR1"
"651","PROK1","PROKR2"
"652","PROS1","TYRO3"
"653","PROS1","AXL"
"654","GAS6","MERTK"
"655","GAS6","TYRO3"
"656","GAS6","AXL"
"657","PSAP","GPR37"
"658","PSAP","GPR37L1"
"659","PTH2","PTH2R"
"660","PTH2","PTH1R"
"661","PTHLH","PRLHR"
"662","PTHLH","PTH2R"
"663","PTHLH","PTH1R"
"664","PRLH","PRLHR"
"665","NPY","NPY1R"
"666","NPY","NPY5R"
"667","NPY","NPY4R"
"668","NPY","NPY2R"
"669","NPY","PRLHR"
"670","PYY","NPY1R"
"671","PYY","NPY5R"
"672","PYY","NPY4R"
"673","PYY","NPY2R"
"674","PPY","NPFFR1"
"675","PPY","NPFFR2"
"676","PPY","NPY1R"
"677","PPY","NPY5R"
"678","PPY","NPY4R"
"679","NPVF","NPFFR1"
"680","NPVF","NPFFR2"
"681","NPFF","MAS1"
"682","NPFF","NPFFR1"
"683","NPFF","NPFFR2"
"684","AGT","AGTR1"
"685","AGT","AGTR2"
"686","AGT","MAS1"
"687","TAC3","TACR2"
"688","TAC3","TACR3"
"689","TAC3","TACR1"
"690","TAC4","TACR2"
"691","TAC4","TACR3"
"692","TAC4","TACR1"
"693","TAC1","TACR2"
"694","TAC1","TACR3"
"695","TAC1","TACR1"
"707","BTLA","TNFRSF14"
"713","TNFSF15","TNFRSF25"
"718","TRH","TRHR"
"719","NRG1","ERBB4"
"720","NRG1","ERBB3"
"721","NRG2","ERBB4"
"722","NRG2","ERBB3"
"723","NRG4","ERBB4"
"724","NRG3","ERBB4"
"725","BTC","EGFR"
"726","BTC","ERBB4"
"727","HBEGF","EGFR"
"728","HBEGF","ERBB4"
"729","EREG","EGFR"
"730","EREG","ERBB4"
"731","EPGN","EGFR"
"733","TGFA","EGFR"
"734","AREG","EGFR"
"735","CRH","CRHR2"
"736","CRH","CRHR1"
"737","CRH","MC2R"
"738","UCN2","CRHR2"
"739","UCN2","CRHR1"
"740","UCN","CRHR2"
"741","UCN","CRHR1"
"742","UCN3","CRHR2"
"743","PENK","OPRD1"
"744","PENK","OPRM1"
"745","PENK","OPRK1"
"746","PENK","MRGPRX1"
"747","PDYN","OPRD1"
"748","PDYN","OPRM1"
"749","PDYN","OPRK1"
"750","POMC","MC2R"
"751","POMC","MC1R"
"752","POMC","MC4R"
"753","POMC","MC5R"
"754","POMC","MC3R"
"755","POMC","OPRD1"
"756","POMC","OPRM1"
"757","POMC","OPRK1"
"758","ASIP","MC1R"
"759","ASIP","MC4R"
"760","ASIP","MC5R"
"761","ASIP","MC3R"
"762","AGRP","MC4R"
"763","AGRP","MC5R"
"764","AGRP","MC3R"
"765","UTS2B","UTS2R"
"766","UTS2","UTS2R"
"770","PDGFC","KDR"
"771","PDGFC","FLT4"
"772","VEGFC","KDR"
"773","VEGFC","FLT4"
"774","SCT","SCTR"
"775","SCT","ADCYAP1R1"
"776","SCT","VIPR2"
"777","SCT","VIPR1"
"778","VIP","SCTR"
"779","VIP","ADCYAP1R1"
"780","VIP","VIPR2"
"781","VIP","VIPR1"
"782","ADCYAP1","ADCYAP1R1"
"783","ADCYAP1","VIPR2"
"784","ADCYAP1","VIPR1"
"785","GHRH","VIPR1"
"786","WNT4","FZD6"
"787","WNT5A","FZD6"
"788","WNT3A","FZD6"
"789","A2M","LRP1"
"790","AANAT","MTNR1A"
"791","AANAT","MTNR1B"
"792","ADAM12","ITGA9"
"793","ADAM12","ITGB1"
"794","ADAM12","SDC4"
"795","ADAM15","ITGA5"
"796","ADAM15","ITGA9"
"797","ADAM15","ITGB1"
"798","ADAM15","ITGB3"
"799","ADAM17","ITGA5"
"800","ADAM17","ITGB1"
"801","ADAM23","ITGA5"
"802","ADAM23","ITGB3"
"803","ADAM2","ITGA6"
"804","ADAM2","ITGB1"
"805","ADAM9","ITGA6"
"806","ADAM9","ITGAV"
"807","ADAM9","ITGB1"
"808","ADAM9","ITGB5"
"812","ADIPOQ","ADIPOR1"
"813","ADIPOQ","ADIPOR2"
"815","ADM2","CALCRL"
"816","ADM2","RAMP1"
"818","ADM","CALCRL"
"821","ADM","RAMP2"
"822","AGRN","MUSK"
"828","AGT","LRP2"
"833","ANGPT1","TIE1"
"834","ANGPT2","TEK"
"836","ANGPTL1","TEK"
"841","APOB","LDLR"
"842","APOE","LDLR"
"843","APOE","LRP5"
"844","APOE","LRP8"
"845","APOE","SORL1"
"846","APOE","VLDLR"
"850","ARTN","GFRA3"
"851","ARTN","RET"
"852","ASIP","ATRN"
"854","ASIP","MGRN1"
"860","BDNF","NTRK2"
"861","BMP10","ACVR1"
"862","BMP10","ACVR2A"
"863","BMP10","ACVR2B"
"864","BMP10","ACVRL1"
"865","BMP10","BMPR1A"
"866","BMP10","BMPR1B"
"867","BMP10","BMPR2"
"868","BMP15","ACVR1"
"869","BMP15","ACVR2A"
"870","BMP15","ACVR2B"
"871","BMP15","BMPR1A"
"872","BMP15","BMPR1B"
"873","BMP15","BMPR2"
"875","BMP2","ACVR2A"
"876","BMP2","ACVR2B"
"880","BMP3","ACVR1"
"881","BMP3","ACVR2A"
"882","BMP3","ACVR2B"
"883","BMP3","BMPR1A"
"884","BMP3","BMPR1B"
"885","BMP3","BMPR2"
"886","BMP4","ACVR1"
"887","BMP4","ACVR2A"
"888","BMP4","ACVR2B"
"889","BMP4","BMPR1A"
"890","BMP4","BMPR1B"
"891","BMP4","BMPR2"
"892","BMP5","ACVR1"
"893","BMP5","ACVR2A"
"894","BMP5","ACVR2B"
"895","BMP5","BMPR1A"
"896","BMP5","BMPR1B"
"897","BMP5","BMPR2"
"898","BMP6","ACVR1"
"899","BMP6","ACVR2A"
"900","BMP6","ACVR2B"
"901","BMP6","BMPR1A"
"902","BMP6","BMPR1B"
"903","BMP6","BMPR2"
"904","BMP7","ACVR1"
"906","BMP7","ACVR2B"
